Course,Term_Offered,Campus
ARCH1161,Term 2 2019,"Main Campus, Kensington"
ARCH1162,Term 2 2019,"Main Campus, Kensington"
ARCH1222,Term 2 2019,"Main Campus, Kensington"
ARCH1261,Term 2 2019,"Main Campus, Kensington"
ARCH1302,Term 2 2019,"Main Campus, Kensington"
ARCH1361,Term 2 2019,"Main Campus, Kensington"
ARCH7202,Term 2 2019,"Main Campus, Kensington"
ARCH7218,Term 2 2019,"Main Campus, Kensington"
ARCH7220,Term 2 2019,"Main Campus, Kensington"
ARCH7227,Term 2 2019,"Main Campus, Kensington"
ARCH7251,Term 2 2019,"Main Campus, Kensington"
ARCH7252,Term 2 2019,"Main Campus, Kensington"
ARCH7253,Term 2 2019,"Main Campus, Kensington"
ARCH7254,Term 2 2019,"Main Campus, Kensington"
ARCH7304,Term 2 2019,"Main Campus, Kensington"
ARCH1102,Term 3 2019,"Main Campus, Kensington"
ARCH1202,Term 3 2019,"Main Campus, Kensington"
ARCH1322,Term 3 2019,"Main Campus, Kensington"
ARCH7112,Term 3 2019,"Main Campus, Kensington"
ARCH7161,Term 3 2019,"Main Campus, Kensington"
ARCH7215,Term 3 2019,"Main Campus, Kensington"
ARCH7216,Term 3 2019,"Main Campus, Kensington"
ARCH7809,Term 3 2019,"Main Campus, Kensington"
ARTS2281,Summer Term 2019,"Main Campus, Kensington"
ARTS2458,Summer Term 2019,"Main Campus, Kensington"
ARTS2542,Summer Term 2019,"Main Campus, Kensington"
ARTS3068,Summer Term 2019,"Main Campus, Kensington"
ARTS3758,Summer Term 2019,"Main Campus, Kensington"
ARTS3759,Summer Term 2019,"Main Campus, Kensington"
ARTS3991,Summer Term 2019,"Main Campus, Kensington"
ARTS0209,Term 1 2019,"Main Campus, Kensington"
ARTS0212,Term 1 2019,"Main Campus, Kensington"
ARTS0225,Term 1 2019,"Main Campus, Kensington"
ARTS0229,Term 1 2019,"Main Campus, Kensington"
ARTS0506,Term 1 2019,"Main Campus, Kensington"
ARTS0606,Term 1 2019,"Main Campus, Kensington"
ARTS1010,Term 1 2019,"Main Campus, Kensington"
ARTS1030,Term 1 2019,"Main Campus, Kensington"
ARTS1060,Term 1 2019,"Main Campus, Kensington"
ARTS1090,Term 1 2019,"Main Campus, Kensington"
ARTS1120,Term 1 2019,"Main Campus, Kensington"
ARTS1240,Term 1 2019,"Main Campus, Kensington"
ARTS1271,Term 1 2019,"Main Campus, Kensington"
ARTS1360,Term 1 2019,"Main Campus, Kensington"
ARTS1450,Term 1 2019,"Main Campus, Kensington"
ARTS1452,Term 1 2019,"Main Campus, Kensington"
ARTS1480,Term 1 2019,"Main Campus, Kensington"
ARTS1510,Term 1 2019,"Main Campus, Kensington"
ARTS1570,Term 1 2019,"Main Campus, Kensington"
ARTS1630,Term 1 2019,"Main Campus, Kensington"
ARTS1660,Term 1 2019,"Main Campus, Kensington"
ARTS1690,Term 1 2019,"Main Campus, Kensington"
ARTS1750,Term 1 2019,"Main Campus, Kensington"
ARTS1810,Term 1 2019,"Main Campus, Kensington"
ARTS1870,Term 1 2019,"Main Campus, Kensington"
ARTS2034,Term 1 2019,"Main Campus, Kensington"
ARTS2040,Term 1 2019,"Main Campus, Kensington"
ARTS2061,Term 1 2019,"Main Campus, Kensington"
ARTS2066,Term 1 2019,"Main Campus, Kensington"
ARTS2095,Term 1 2019,"Main Campus, Kensington"
ARTS2121,Term 1 2019,"Main Campus, Kensington"
ARTS2122,Term 1 2019,"Main Campus, Kensington"
ARTS2125,Term 1 2019,"Main Campus, Kensington"
ARTS2210,Term 1 2019,"Main Campus, Kensington"
ARTS2211,Term 1 2019,"Main Campus, Kensington"
ARTS2240,Term 1 2019,"Main Campus, Kensington"
ARTS2271,Term 1 2019,"Main Campus, Kensington"
ARTS2283,Term 1 2019,"Main Campus, Kensington"
ARTS2360,Term 1 2019,"Main Campus, Kensington"
ARTS2384,Term 1 2019,"Main Campus, Kensington"
ARTS2450,Term 1 2019,"Main Campus, Kensington"
ARTS2452,Term 1 2019,"Main Campus, Kensington"
ARTS2453,Term 1 2019,"Main Campus, Kensington"
ARTS2461,Term 1 2019,"Main Campus, Kensington"
ARTS2464,Term 1 2019,"Main Campus, Kensington"
ARTS2480,Term 1 2019,"Main Campus, Kensington"
ARTS2484,Term 1 2019,"Main Campus, Kensington"
ARTS2510,Term 1 2019,"Main Campus, Kensington"
ARTS2570,Term 1 2019,"Main Campus, Kensington"
ARTS2630,Term 1 2019,"Main Campus, Kensington"
ARTS2660,Term 1 2019,"Main Campus, Kensington"
ARTS2692,Term 1 2019,"Main Campus, Kensington"
ARTS2698,Term 1 2019,"Main Campus, Kensington"
ARTS2752,Term 1 2019,"Main Campus, Kensington"
ARTS2755,Term 1 2019,"Main Campus, Kensington"
ARTS2785,Term 1 2019,"Main Campus, Kensington"
ARTS2816,Term 1 2019,"Main Campus, Kensington"
ARTS2818,Term 1 2019,"Main Campus, Kensington"
ARTS2821,Term 1 2019,"Main Campus, Kensington"
ARTS2876,Term 1 2019,"Main Campus, Kensington"
ARTS2877,Term 1 2019,"Main Campus, Kensington"
ARTS2900,Term 1 2019,"Main Campus, Kensington"
ARTS2908,Term 1 2019,"Main Campus, Kensington"
ARTS3021,Term 1 2019,"Main Campus, Kensington"
ARTS3022,Term 1 2019,"Main Campus, Kensington"
ARTS3049,Term 1 2019,"Main Campus, Kensington"
ARTS3052,Term 1 2019,"Main Campus, Kensington"
ARTS3054,Term 1 2019,"Main Campus, Kensington"
ARTS3061,Term 1 2019,"Main Campus, Kensington"
ARTS3062,Term 1 2019,"Main Campus, Kensington"
ARTS3067,Term 1 2019,"Main Campus, Kensington"
ARTS3091,Term 1 2019,"Main Campus, Kensington"
ARTS3095,Term 1 2019,"Main Campus, Kensington"
ARTS3097,Term 1 2019,"Main Campus, Kensington"
ARTS3125,Term 1 2019,"Main Campus, Kensington"
ARTS3131,Term 1 2019,"Main Campus, Kensington"
ARTS3216,Term 1 2019,"Main Campus, Kensington"
ARTS3217,Term 1 2019,"Main Campus, Kensington"
ARTS3242,Term 1 2019,"Main Campus, Kensington"
ARTS3243,Term 1 2019,"Main Campus, Kensington"
ARTS3283,Term 1 2019,"Main Campus, Kensington"
ARTS3292,Term 1 2019,"Main Campus, Kensington"
ARTS3375,Term 1 2019,"Main Campus, Kensington"
ARTS3450,Term 1 2019,"Main Campus, Kensington"
ARTS3452,Term 1 2019,"Main Campus, Kensington"
ARTS3455,Term 1 2019,"Main Campus, Kensington"
ARTS3480,Term 1 2019,"Main Campus, Kensington"
ARTS3482,Term 1 2019,"Main Campus, Kensington"
ARTS3486,Term 1 2019,"Main Campus, Kensington"
ARTS3510,Term 1 2019,"Main Campus, Kensington"
ARTS3570,Term 1 2019,"Main Campus, Kensington"
ARTS3575,Term 1 2019,"Main Campus, Kensington"
ARTS3630,Term 1 2019,"Main Campus, Kensington"
ARTS3632,Term 1 2019,"Main Campus, Kensington"
ARTS3640,Term 1 2019,"Main Campus, Kensington"
ARTS3660,Term 1 2019,"Main Campus, Kensington"
ARTS3695,Term 1 2019,"Main Campus, Kensington"
ARTS3750,Term 1 2019,"Main Campus, Kensington"
ARTS3758,Term 1 2019,"Main Campus, Kensington"
ARTS3759,Term 1 2019,"Main Campus, Kensington"
ARTS3780,Term 1 2019,"Main Campus, Kensington"
ARTS3783,Term 1 2019,"Main Campus, Kensington"
ARTS3819,Term 1 2019,"Main Campus, Kensington"
ARTS3822,Term 1 2019,"Main Campus, Kensington"
ARTS3875,Term 1 2019,"Main Campus, Kensington"
